SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
201412;1.024.000.000.000.000.000;1.045.000.000.000.000.000;940.000.000.000.000.000
201501;1.020.000.000.000.000.000;1.020.000.000.000.000.000;937.000.000.000.000.000
201502;1.030.000.000.000.000.000;1.031.000.000.000.000.000;944.000.000.000.000.000
201503;1.029.000.000.000.000.000;1.031.000.000.000.000.000;948.000.000.000.000.000
201504;1.018.000.000.000.000.000;1.039.000.000.000.000.000;950.000.000.000.000.000
201505;1.025.000.000.000.000.000;1.041.000.000.000.000.000;958.000.000.000.000.000
201506;1.028.000.000.000.000.000;1.040.000.000.000.000.000;954.000.000.000.000.000
201507;1.019.000.000.000.000.000;1.055.000.000.000.000.000;964.000.000.000.000.000
201508;1.028.000.000.000.000.000;1.029.000.000.000.000.000;940.000.000.000.000.000
201509;1.039.000.000.000.000.000;1.031.000.000.000.000.000;951.000.000.000.000.000
201510;1.039.000.000.000.000.000;1.040.000.000.000.000.000;952.000.000.000.000.000
201511;1.016.000.000.000.000.000;1.027.000.000.000.000.000;959.000.000.000.000.000
201512;1.019.000.000.000.000.000;1.032.000.000.000.000.000;941.000.000.000.000.000
201601;1.035.000.000.000.000.000;1.048.000.000.000.000.000;969.000.000.000.000.000
201602;1.034.000.000.000.000.000;1.046.000.000.000.000.000;956.000.000.000.000.000
201603;1.026.000.000.000.000.000;1.038.000.000.000.000.000;957.000.000.000.000.000
201604;1.041.000.000.000.000.000;1.045.000.000.000.000.000;973.000.000.000.000.000
